Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
lumberjackSetBonusAGF,ui_display,Item stat,,,"Axes: x2 Wood Harvest / Stamina Cost",,"Äxte: x2 Holzernte / Ausdauerkosten","Hachas: x2 Recolección de madera / Costo de la resistencia","Haches: x2 Récolte du bois / Coût en endurance","Asce: x2 Raccolta legno / Costi del vigore","斧: x2 木材採取 / 消費スタミナ","도끼: x2 목재 수집 / 스태미너 소모","Siekiery: x2 Pozyskane drewno / Koszt wytrzymałości","Machados: x2 Coleta de Madeira / Custo de vigor","Топоры: x2 Добыча дерева / Расход выносливости","Baltalar: x2 Tahta Toplama / Dayanıklılık Maliyeti","斧头: x2 木材采伐 / 体力值消耗","斧頭: x2 木頭收集 / 耐力消耗"
minerSetBonusAGF,ui_display,Item stat,,,"Mining - Tools - Durability",,"Bergbau - Werkzeuge - Haltbarkeit","Minería - Herramientas - Durabilidad","Extraction minière - Outils - Durabilité","Estrazione mineraria - Attrezzi - Durabilità","採掘 - ツール - 耐久度","채광 - 도구 - 내구성","Górnictwo - Narzędzia - Trwałość","Mineração - Ferramentas - Durabilidade","Добыча руды - Инструменты - Прочность","Madencilik - Aletler - Sağlamlık","采矿 - 工具 - 耐久度","採礦 - 工具 - 耐久度"
nerdSetBonusAGF,ui_display,Item stat,,,"Durability: Tools / Weapons",,"Haltbarkeit: Werkzeuge / Waffen","Durabilidad: Herramientas / Armas","Durabilité: Outils / Armes","Durabilità: Attrezzi / Armi","耐久度: ツール / 武器","내구성: 도구 / 무기","Trwałość: Narzędzia / Broń","Durabilidade: Ferramentas / Armas","Прочность: Инструменты / Оружие","Sağlamlık: Aletler / Silahlar","耐久度: 工具 / 武器","耐久度: 工具 / 武器"
nomadSetBonusAGF,ui_display,Item stat,,,"Stamina Regen: Use -Food",,"Ausdauerwiederherstellung: Benutzen -Nahrung","Regeneración de la resistencia: Usar -Comida","Régénération d'endurance: Utiliser -Nourriture","Rigenerazione del vigore: Usa -Cibo","スタミナ回復: 使用： -食料","스태미너 재생성: 사용 -음식","Regeneracja wytrzymałości: Użyj -Żywność","Regeneração de vigor: Usar -Comida","Восст. выносливости: Использовать -Еда","Dayanıklılık Yenileme: Kullan -Yiyecek","体力值回复: 使用 -食物","耐力恢復: 使用 -食物"
preacherSetBonusAGF,ui_display,Item stat,,,"Armor Crit Resist / Infection",,"Kritischer Rüstungswiderstand / Infektion","Resistencia crítica del armadura / Infección","Résistance aux coups critiques de l'armure / Infection","Resistenza critica dell'armatura / Infezione","重傷耐性 / 感染症","방어구 치명타 저항 / 감염","Pancerz: odp. na kryt. / Infekcja","Resistência crítica de armadura / Infecção","Сопротивление брони критическому урону / Инфекция","Zırh Kritik Direnci / Enfeksiyon","护甲暴击抵抗 / 感染","防暴護甲 / 感染"
primitiveSetBonusAGF,ui_display,Item stat,,,"Armor Crit Resist",,"Kritischer Rüstungswiderstand","Resistencia crítica del armadura","Résistance aux coups critiques de l'armure","Resistenza critica dell'armatura","重傷耐性","방어구 치명타 저항","Pancerz: odp. na kryt.","Resistência crítica de armadura","Сопротивление брони критическому урону","Zırh Kritik Direnci","护甲暴击抵抗","防暴護甲"
raiderSetBonusAGF,ui_display,Item stat,,,"Armor Crit Resist",,"Kritischer Rüstungswiderstand","Resistencia crítica del armadura","Résistance aux coups critiques de l'armure","Resistenza critica dell'armatura","重傷耐性","방어구 치명타 저항","Pancerz: odp. na kryt.","Resistência crítica de armadura","Сопротивление брони критическому урону","Zırh Kritik Direnci","护甲暴击抵抗","防暴護甲"
rangerSetBonusAGF,ui_display,Item stat,,,"Lever Action Rifle, Magnum: Reload Speed",,"Unterhebelrepetierer, Magnum: Nachladegeschwindigkeit","Rifle de palanca, Magnum: Velocidad de recarga","Fusil à levier, Magnum: Vitesse de rechargement","Fucile a leva, Magnum: Velocità di ricarica","レバーアクションライフル, マグナム: リロード速度","레버 액션 라이플, 매그넘: 재장전 속도","Karabin dwutaktowy, Magnum: Szybkość przeładowania","Fuzil de ação de alavanca, Magnum: Velocidade de recarga","Винтовка рычажного действия, Magnum: Скорость перезагрузки","Levyeli Tüfek, Magnum: Doldurma Hızı","杠杆式步枪, 马格南: 重新装填速度","槓桿式步槍, 馬格南手槍: 重新載入速度"
rogueSetBonusAGF,ui_display,Item stat,,,"Dukes: Loot Bonus",,"Dukes: Beutebonus","Ducados: Bono de botín","Pièces Duke: Bonus de butin","Duchi: Bonus saccheggio","デュークのカジノトークン: 略奪品ボーナス","듀크: 약탈품 보너스","Żetony Księcia: Premia do łupów","Duques: Bônus de saque","Дюки: Бонус добычи","Duke: Ganimet Bonusu","公爵币: 战利品奖励","杜克幣: 戰利品獎勵"
scavengerSetBonusAGF,ui_display,Item stat,,,"Salvage Harvest: Loot Quality",,"Altstoffertrag: Beutequalität","Recolección de piezas recuperadas: Calidad del botín","Récolte de récupération: Qualité du butin","Raccolta parti di recupero: Qualità saccheggio","解体時獲得資材量: 略奪品品質","폐품 수확: 약탈품 품질","Wydajność odzysku: Jakość łupu","Coleta de Reciclagem: Qualidade dos espólios","Прирост сбора трофеев: Качество добычи","Hurda Toplama Verimi: Ganimet Kalitesi","回收收获: 搜刮质量","搶救收穫: 戰利品質量"
statMobilityAGF,ui_display,Item stat,,,"Mobility (x4)",,"Beweglichkeit (x4)","Movilidad (x4)","Mobilité (x4)","Mobilità (x4)","機動性 (x4)","이동성 (x4)","Mobilność (x4)","Mobilidade (x4)","Мобильность (x4)","Hareketlilik (x4)","移动能力 (x4)","機動性 (x4)"
statNoiseIncreaseAGF,ui_display,Item stat,,,"Noise Increase (x4)",,"Geräuscherhöhung (x4)","Aumento de ruido (x4)","Augmentation du bruit (x4)","Aumento rumore (x4)","騒音増大 (x4)","소음 증가 (x4)","Zwiększenie hałasu (x4)","Aumento de ruído (x4)","Усиление шума (x4)","Ses Artışı (x4)","噪音增加 (x4)","噪音增大 (x4)"
statPhysicalDamageResist,ui_display,Item stat,,,"Armor Rating",,"Rüstungswert","Índice de blindaje","Résistance d'armure","Valore armatura","アーマー値","갑옷 등급","Poziom ochrony pancerza","Classe de armadura","Ранг брони","Zırh Derecesi","护甲等级","護甲等級"
statPhysicalDamageResistHeavy,ui_display,Item stat,,,"Heavy Armor Rating",,"Rüstungswert Schwere Rüstung","Valor de armadura pesada","Résistance d'armure lourde","Valore armatura pesante","ヘビーアーマー値","중갑옷 등급","Poziom ochrony ciężkiego pancerza","Classe de armadura pesada","Ранг тяжелой брони","Ağır Zırh Derecesi","重甲等级","重甲等級"
statPhysicalDamageResistLight,ui_display,Item stat,,,"Light Armor Rating",,"Rüstungswert Leichte Rüstung","Clasificación de armadura ligera","Résistance d'armure légère","Valore armatura leggera","ライトアーマー値","경갑옷 등급","Poziom ochrony lekkiego pancerza","Classe de armadura leve","Ранг легкой брони","Hafif Zırh Derecesi","轻甲等级","輕甲等級"
statPhysicalDamageResistMedium,ui_display,Item stat,,,"Medium Armor Rating",,"Rüstungswert Mittlere Rüstung","Índice de blindaje medio","Résistance d'armure moyenne","Valore armatura media","ミディアムアーマー値","중형 갑옷 등급","Poziom ochrony średniego pancerza","Taxa de armadura média","Ранг средней брони","Orta Zırh Derecesi","中型护甲等级","中甲等級"
statStaminaChangeOTAGF,ui_display,Item stat,,,"Stamina /s (x4)",,"Ausdauer/Sek. (x4)","Resistencia/s (x4)","Endurance/s (x4)","Vigore al secondo (x4)","スタミナ/秒 (x4)","스태미너/초 (x4)","Wytrzymałość / sek. (x4)","Vigor por segundo (x4)","Выносливость / с (x4)","Dayanıklılık/sn. (x4)","体力值/秒 (x4)","耐力 / 秒 (x4)"
xuiFoodAmount,,,,,"Food Amount",,"Lebensmittelmenge","Cantidad de alimentos","Quantité alimentaire","Importo del cibo","食糧量","음식 금액","Kwota żywności","Quantidade de comida","Сумма еды","Gıda miktarı","粮食金额","糧食金額"
xuiFoodPercentage,,,,,"Food Percentage",,"Lebensmittelanteil","Porcentaje de alimentos","Pourcentage alimentaire","Percentuale di cibo","食品の割合","음식 비율","Procent żywności","Porcentagem de alimentos","Процент еды","Yiyecek yüzdesi","食物百分比","食物百分比"
xuiTemperature,,,,,"Temperature",,"Temperatur","Temperatura","Température","Temperatura","温度","온도","Temperatura","Temperatura","Температура","Hava sıcaklığı","温度","溫度"
xuiWaterAmount,,,,,"Water Amount",,"Wassermenge","Cantidad de agua","Quantité d'eau","Importo dell'acqua","水量","물 금액","Ilość wody","Quantidade de água.","Сумма воды","Su miktarı","水量","水量"
xuiWaterPercentage,,,,,"Water Percentage",,"Wasseranteil","Porcentaje de agua","Pourcentage d'eau","Percentuale di acqua","水の割合","물 백분율","Procent wody","Porcentagem de água.","Процент воды","Su yüzdesi","水百分比","水百分比"
poweredDoors,Core,checklist,,,"Powered Doors and Bridges",,"Angetriebene Türen und Brücken","Puertas y puentes motorizados.","Portes et ponts alimentés","Porte e ponti alimentati","パワードドアと橋","구동 문 및 교량","Drzwi zasilane i mosty","Portas e pontes alimentadas","Двери и мосты на питание","Elektrikli Kapılar ve Köprüler","动力门和桥梁","動力門和橋樑"
agfChecklist,,,,,"Magazines",,"Magazin","Revista","Magazine","Rivista","雑誌","매거진","Magazynek","Revista","Магазин","Dergi","弹匣","雜誌"
agfBooks,,,,,"Books",,"Bücher","Libros","Livres","Libri","本","책","Książki","Livros","Книги","Kitaplar","书","書籍"
agfUnlocks,,,,,"Unlocks",,"Freigeschaltet","Desbloquea","Déverrouillables","Sblocca","アンロック","해제","Odblokowania","Desbloqueios","Разблокировки","Kilidi Açılır","解锁","解鎖"
agfArmors,,,,,"Armors",,"Rüstung","Armadura","Armure","Armatura","アーマー","방어구","Pancerz","Armadura","Броня","Zırh","护甲","護甲"
AGFarmorPrimitiveOutfit,items,Clothes,,,"Primitive",,"Primitives","Primitivo","Primitive","Primitivo","原生的","원시적","Prymitywny","Primitivo","Простейшая","Ilkel","粗糙","原始"
AGFarmorAssassinOutfit,items,Clothes,,,"Assassin",,"Attentäter","Asesino","Assassin","Assassino","アサシン","어쌔신","Skrytobójcy","Assassino","Убийцы","Suikastçıi","刺客","刺客"
AGFarmorAthleticOutfit,items,Clothes,,,"Athletic",,"Athletisch","Atleta","Athlète","Atleta","アスリート","운동선수","Sportowca","Atletismo","Спортсмена","Atletik","运动员","運動員"
AGFarmorBikerOutfit,items,Clothes,,,"Biker",,"Biker","Motociclista","Motard","Motociclista","バイカー","바이커","Motocyklisty","Motoqueiro","Байкерский Прикид","Motorcui","摩托车手","騎士"
AGFarmorCommandoOutfit,items,Clothes,,,"Commando",,"Kommando","Comando","Commando","Commando","コマンドー","특공대원","Komandosa","Fuzileiro","Спецназовская Форма","Komandoi","指挥官","突擊隊員"
AGFarmorCrimsonWarlordOutfit,items,Clothes,,,"Crimson Warlord",,"Karmin-Kriegsherr"," señor de la guerra carmesí","Seigneur De Guerre Pourpre","Signore Della Guerra Cremisi","クリムゾン・ウォーロード","진홍색 워로드","Karmazynowego Watażki","Senhor Da Guerra Carmesim","«Алый Воевода»","Kızıl Savaş Ağasıi","绯红军阀","赤紅戰主"
AGFarmorDesertOutfit,items,Clothes,,,"Desert",,"Wüsten","Desierto","Du Désert","Deserto","デザート","사막","Pustynny","Deserto","Пустынный Костюм","Çöli","沙漠","荒漠"
AGFarmorEnforcerOutfit,items,Clothes,,,"Enforcer",,"Vollstrecker","Sicario","Agent","Sicario","執行者","집행자","Strażnika Prawa","Executor","Блюстителя Закона","Memuri","警官","警官"
AGFarmorFarmerOutfit,items,Clothes,,,"Farmer",,"Landwirt","Granjero","Fermier","Contadino","農夫","농부","Rolnika","Fazendeiro","Фермера","Çiftçii","农夫","農民"
AGFarmorHoarderOutfit,items,Clothes,,,"Hoarder",,"Horter","Coleccionista","Amasseur","Accumulatore","ホーダー","호더","Zbieracza","Do Acumulador","«Барахольщик»","Depocui","囤积者","囤積者"
AGFarmorLumberjackOutfit,items,Clothes,,,"Lumberjack",,"Holzfäller","Leñador","Bûcheron","Boscaiolo","木こり","벌목꾼","Drwala","Lenhador","Лесоруба","Oduncui","伐木工","伐木工"
AGFarmorMarauderOutfit,items,Clothes,,,"Marauder",,"Herumtreiber","Merodeador","Marauder","Predone","マローダー","약탈자","Marudera","Espoliador","Мародера","Yağmacıi","抢劫者","劫掠者"
AGFarmorMinerOutfit,items,Clothes,,,"Miner",,"Bergarbeiter","Minero","Mineur","Minatore","鉱夫","광부","Górniczy","Minerador","Шахтерская Униформа","Madencii","矿工","礦工"
AGFarmorNerdOutfit,items,Clothes,,,"Nerd",,"Nerd","Nerd","Geek","Nerd","オタク","너드","Stój Nerda","Nerd","Прикид Ботана","Inek Öğrencii","学霸","書呆子"
AGFarmorNomadOutfit,items,Clothes,,,"Nomad",,"Nomaden","Nómada","Nomade","Nomade","遊牧民","유목민","Koczownika","Nômade","Бродяги","Göçebei","游牧民","流浪者"
AGFarmorPreacherOutfit,items,Clothes,,,"Preacher",,"Prediger","Predicador","Évangéliste","Predicatore","説教者","설교자","Kaznodziei","Sacerdote","Священника","Vaizi","传道者","傳教士"
AGFarmorRaiderOutfit,items,Clothes,,,"Raider",,"Räuber","Asaltante","Voyou","Razziatore","レイダー","레이더","Pirata","Atacante","Налетчика","Akıncıi","袭击者","掠奪者"
AGFarmorRangerOutfit,items,Clothes,,,"Ranger",,"Ranger","Vaquero","Rôdeur","Ranger","レンジャー","레인저","Leśnika","Patrulheiro","Егеря","Korucui","护林员","遊俠"
AGFarmorRogueOutfit,items,Clothes,,,"Rogue",,"Schurke","Bribón","Fripouille","Furfante","ローグ","로그","Łotra","Ladino","Разбойника","Hayduti","盗贼","賊"
AGFarmorSamuraiOutfit,items,Clothes,,,"Samurai",,"Samurai","Samurái","Samouraï","Samurai","サムライ","사무라이","Samuraja","Samurai","«Самурай»","Samurayi","武士","武士"
AGFarmorScavengerOutfit,items,Clothes,,,"Scavenger",,"Plünderer","Carroñero","Glaneur","Spazzino","スカベンジャー","청소부","Zbieracza","Catador","Мусорщика","Çöpçüi","拾荒者","清道夫"
